ATEBayesBootstrap,ATENaive,RegressionTrue,PartialCorrTYU,confounding,ATEBayesBootstrappval,ATENaivepval,ground_truthpval,bTY
1.108628985846535,0.9884919275525976,1.7787866344699041,0.901913909799428,0,2.24795178361124e-175,1.0527391235323392e-207,0,1.766766766766767
-0.919884853998992,-1.0906732958608647,-1.3219442440216924,-0.940600955446332,0,8.608704637492362e-138,2.242402771603728e-169,0,-1.3263263263263263
0.06172368624982417,0.0582344136137791,0.08105256892522464,0.8390764859065144,0,2.1770750509355354e-294,0,7.608870573281186e-266,0.08508508508508505
0.009902256676230313,-0.17359320898711644,0.2286695122837051,0.17543227117078852,0,0.8777542152258703,0.005021796091015768,2.387582592290005e-8,0.18518518518518512
-0.12354932525685736,-0.13141834357148233,0.017480387486197856,0.04329082260770902,0,4.113614493349101e-45,6.281416246792518e-64,0.1715565872845212,0.025025025025025016
2.7775464665888743,3.257583875276329,2.891383820769714,0.9278769264001248,1,4.618078679366709e-280,0,0,2.8878878878878878
0.8422764602418557,0.9039710317442285,-0.11595876204941186,-0.2256555433141953,1,7.237794039983171e-175,1.1184986178016634e-249,5.328943063034871e-13,-0.12512512512512508
3.0171805625623085,3.908442860721153,2.886390489978568,0.8681785555713764,0,3.842107927276384e-159,0,1.199085851816743e-305,2.8878878878878878
-1.683380587791552,-2.4301364694941157,-0.6184198249067562,-0.49499536517148357,1,4.1830734212121014e-73,9.014004911009378e-232,7.198721694163418e-63,-0.5955955955955954
9.071561490569477,9.345130672103103,3.9427952182221992,0.9605707908842258,0,0,0,0,3.9789789789789793
0.6509313590885638,0.8626141396111274,0.8020705156523101,0.4417339380270506,1,2.3276942469004536e-11,1.3274076625572395e-18,5.756157037440037e-49,0.8258258258258255
2.327039297438872,2.335783269039938,2.2908258646823323,0.9952344274800666,0,0,0,0,2.2772772772772774
-0.7437908002744187,-0.7458574286528417,-0.6332529502871967,-0.7013525141985218,0,0,0,9.413576172880039e-149,-0.7057057057057055
1.382284930254525,1.4032875290093652,1.3874549391787039,0.9766497991942904,1,0,0,0,1.3763763763763759
0.696100837800362,0.7394171587785181,0.5687905722681453,0.6811480276614164,1,4.761145656698349e-185,8.194363204456677e-272,3.736631366724614e-137,0.5755755755755754
0.006771465999569615,0.12755330078791274,-1.7101935441339753,-0.6482854560837097,0,0.945676467277003,0.18586947878497986,3.602985794536965e-120,-1.7067067067067065
0.8871286082052706,0.9519148989053513,0.835259587297634,0.9988656384602423,0,0,0,0,0.8358358358358355
-4.116777817853648,-5.577797637800929,-2.3372791423545825,-0.46023360529856355,1,9.797989129596603e-73,0,1.610833671706556e-53,-2.2672672672672673
1.7992024058294378,1.8206890675823293,1.7585603441285738,0.9886817397834087,0,0,0,0,1.756756756756757
-4.0355711015738,-4.0996381788251695,-3.5438249699715505,-0.9827201854483755,0,0,0,0,-3.5585585585585586
-4.658105029010811,-4.701961558063236,-4.486629911928564,-0.9956497339663389,0,0,0,0,-4.46946946946947
2.872122928650422,2.85930637499328,3.5884565282332477,0.991980834288929,0,0,0,0,3.618618618618619
-2.597174892992921,-2.735997926022398,-2.437490541550703,-0.9772208061857374,0,0,0,0,-2.4474474474474475
0.3041956089230739,0.30626063915678625,0.9062860104047796,0.6944872329344605,0,6.903190757342762e-35,5.525912083297637e-37,1.0545927736086368e-144,0.9459459459459456
0.10735684581437313,0.22506852886250578,0.13708991869853937,0.19134130519365927,0,7.577573064048977e-4,5.905097012132666e-13,1.08375804039755e-9,0.12512512512512508
4.6506475144589166,4.672250106280083,4.620918344201868,0.9999470677833807,0,0,0,0,4.61961961961962
-3.3557258672867776,-3.4587051981439116,-3.357971554576259,-0.9999760237365191,0,0,0,0,-3.358358358358358
-2.294395360955819,-2.2878201684025132,-2.49337447392523,-0.9861454679567501,0,0,0,0,-2.4974974974974975
3.992515801031689,4.01275445532082,3.9683233105533615,0.9996474396680773,1,0,0,0,3.9689689689689693
-2.526888762968242,-2.7722612436247838,-2.828876111077487,-0.8075865733097769,0,5.20124324404012e-160,1.0888767603172904e-182,7.084376359827417e-231,-2.8378378378378377
-2.6437329592321697,-2.6384902662874774,-3.1866418387907425,-0.9935972874161123,1,0,0,0,-3.178178178178178
4.656707973195506,4.691410925683903,4.1968701910519055,0.9414698906911458,1,4.97e-321,0,0,4.1491491491491495
1.827237127102426,2.000139834861596,1.8167263221182794,0.9826525765440046,0,0,0,0,1.836836836836837
0.5140150684903044,0.5094939689727921,1.9709116358560612,0.7051631085071342,1,4.204261828518707e-81,1.7467948393808216e-85,4.7381611629418e-151,1.9369369369369371
1.702051261544842,2.018742608998341,1.4216774742214224,0.4986824936818054,1,9.73004743581519e-71,1.1000959423462496e-190,6.322292334923566e-64,1.3463463463463459
-1.0935034183438472,-1.4205822670478054,-0.7585536817991647,-0.26441625391434304,0,2.6270670229253785e-4,2.187273051756459e-6,1.9182564669123388e-17,-0.7757757757757755
4.388958625486597,4.432588939341146,4.379653534011034,0.9449089327999948,0,0,0,0,4.32932932932933
3.9482107089056337,3.9435883531018474,4.109387768954874,0.9999946517911708,1,0,0,0,4.109109109109109
0.3510151518173092,0.3241161664984014,0.9205355850026284,0.7296630544848506,0,1.982848989734736e-78,5.828105844698275e-100,9.281873144860073e-167,0.9259259259259256
-1.6494087636277108,-1.6607692179276563,-0.18898454835399986,-0.46492949755076746,1,0,0,1.0140498710790467e-54,-0.18518518518518512
-1.662398059494407,-1.6425638894285168,-1.76792390845815,-0.5561301154569843,1,6.526488055883154e-69,8.630288007747832e-158,3.5333216637133613e-82,-1.7767767767767766
-0.07361540623881353,-0.7763367079722794,1.566796381155931,0.7094231741490601,0,0.3708423442360631,3.466665768957117e-70,1.1541591179017215e-153,1.556556556556557
-2.107956565317461,-2.451161619334029,-1.9388838732363496,-0.8811837013847132,0,1.152324752157456e-179,0,0,-1.9169169169169171
-5.2717291928892624,-5.289344308605643,-1.0916505983899367,-0.6381643144507559,1,1.3955541567876582e-178,1.0806535942003947e-182,2.355298950667039e-115,-1.0560560560560561
-2.294075832341018,-2.293858637868825,-2.676592574627794,-0.9751794588642577,0,0,0,0,-2.6876876876876876
-3.1341903763670995,-3.030373328876011,-3.21970514288655,-0.9728163610925872,0,0,0,0,-3.198198198198198
-3.1880497988424077,-2.9923016068823145,-3.197428837961335,-0.9981062995258225,1,0,0,0,-3.198198198198198
1.1266954558882698,1.0186598890986227,1.144393824264355,0.6601226060623063,1,1.908580170055588e-87,2.34420493418996e-297,4.856526108912302e-126,1.2062062062062058
